X,Y
1921.5686,1309.8040
1877.1242,1375.1634
1903.2680,1346.4053
1801.3072,1362.0915
1806.5360,1325.4902
1772.5490,1335.9478
1816.9935,1257.5164
1911.1111,1419.6079
1681.0458,1414.3791
1696.7320,1369.9347
1662.7451,1359.4772
1694.1177,1299.3464
1644.4445,1283.6602
1605.2288,1270.5883
1602.6144,1231.3726
1552.9412,1210.4576
1492.8105,1207.8432
1518.9543,1220.9151
1495.4249,1189.5425
1474.5098,1210.4576
1633.9869,1202.6144
1660.1307,1192.1569
1688.8889,1231.3726
925.4902,222.2222
930.7190,248.3660
1053.5948,269.2811
865.3595,358.1699
904.5752,295.4248
826.1438,389.5425
847.0588,418.3007
776.4706,342.4837
836.6013,277.1242
755.5556,284.9673
784.3137,224.8366
794.7713,214.3791
737.2549,206.5360
747.7124,169.9346
721.5686,154.2484
637.9085,164.7059
619.6079,169.9346
601.3072,133.3333
564.7059,256.2092
580.3922,237.9085
616.9935,211.7647
690.1961,256.2092
637.9085,274.5098
666.6667,337.2549
700.6536,313.7255
648.3660,358.1699
724.1830,363.3987
695.4249,413.0719
729.4118,410.4575
10.4575,183.0065
15.6863,295.4248
5.2288,342.4837
101.9608,303.2680
67.9739,326.7974
146.4052,284.9673
196.0784,264.0523
206.5360,243.1373
240.5229,250.9804
253.5948,256.2092
334.6405,198.6928
305.8824,203.9216
311.1111,243.1373
298.0392,264.0523
274.5098,295.4248
311.1111,298.0392
298.0392,334.6405
237.9085,305.8824
190.8497,334.6405
198.6928,389.5425
151.6340,423.5294
143.7909,400.0000
177.7778,384.3137
261.4379,410.4575
209.1503,462.7451
209.1503,462.7451
337.2549,415.6863
329.4118,449.6732
318.9543,460.1307
366.0131,478.4314
436.6013,449.6732
454.9020,394.7712
428.7582,368.6275
386.9281,329.4118
439.2157,321.5686
470.5882,271.8954
507.1895,292.8105
501.9608,326.7974
549.0196,347.7124
512.4183,397.3856
551.6340,389.5425
551.6340,389.5425
585.6209,405.2288
517.6471,420.9150
517.6471,473.2026
588.2353,462.7451
635.2941,431.3726
669.2811,504.5752
601.3072,556.8628
763.3987,528.1046
752.9412,483.6601
752.9412,483.6601
522.8758,230.0654
504.5752,185.6209
470.5882,185.6209
441.8301,198.6928
397.3856,211.7647
384.3137,198.6928
431.3726,274.5098
452.2876,253.5948
813.0719,569.9347
745.0981,588.2353
700.6536,624.8366
690.1961,603.9216
426.1438,556.8628
491.5033,569.9347
41.8301,423.5294
54.9020,400.0000
54.9020,400.0000
83.6601,358.1699
5.2288,397.3856
23.5294,488.8889
31.3726,562.0915
57.5163,551.6340
57.5163,528.1046
115.0327,509.8040
104.5752,535.9477
162.0915,533.3334
183.0065,559.4772
112.4183,590.8497
162.0915,609.1504
78.4314,643.1373
7.8431,705.8824
224.8366,624.8366
279.7386,622.2222
290.1961,588.2353
371.2418,577.7778
368.6275,556.8628
337.2549,551.6340
329.4118,515.0326
329.4118,569.9347
303.2680,546.4053
62.7451,784.3137
88.8889,721.5686
115.0327,734.6405
81.0458,755.5556
146.4052,760.7843
203.9216,718.9543
245.7516,721.5686
337.2549,671.8954
355.5556,658.8235
418.3007,606.5360
457.5163,606.5360
509.8040,611.7647
386.9281,640.5229
413.0719,737.2549
426.1438,711.1111
371.2418,716.3399
462.7451,739.8693
491.5033,692.8105
564.7059,661.4379
546.4053,593.4641
535.9477,577.7778
593.4641,622.2222
627.4510,645.7517
596.0785,661.4379
624.8366,682.3530
611.7647,718.9543
611.7647,718.9543
611.7647,750.3268
669.2811,679.7386
708.4967,671.8954
776.4706,653.5948
826.1438,619.6079
847.0588,671.8954
904.5752,614.3791
941.1765,661.4379
899.3464,718.9543
922.8758,758.1699
867.9739,766.0131
813.0719,760.7843
763.3987,760.7843
776.4706,820.9150
949.0196,716.3399
962.0915,703.2680
1014.3791,677.1242
1082.3530,708.4967
1139.8693,703.2680
964.7059,852.2876
962.0915,797.3856
1014.3791,797.3856
1053.5948,750.3268
543.7909,841.8301
517.6471,826.1438
546.4053,781.6994
546.4053,781.6994
470.5882,820.9150
439.2157,831.3726
415.6863,810.4575
329.4118,818.3007
352.9412,818.3007
366.0131,786.9281
394.7712,786.9281
253.5948,810.4575
243.1373,781.6994
162.0915,807.8431
156.8628,849.6732
122.8758,857.5163
86.2745,828.7582
49.6732,886.2745
31.3726,951.6340
94.1176,917.6471
130.7189,925.4902
154.2484,951.6340
104.5752,962.0915
185.6209,954.2484
