"X","Y"
332.0262,107.1895
593.4640,57.5163
583.0065,143.7909
666.6666,219.6078
656.2091,240.5229
750.3268,222.2222
891.5032,235.2941
904.5751,117.6471
938.5620,292.8105
972.5490,371.2418
904.5751,373.8562
1189.5425,345.0980
1304.5752,358.1699
1354.2483,308.4967
1338.5620,271.8954
1411.7646,279.7386
1403.9215,237.9085
1385.6208,211.7647
1194.7713,146.4052
1168.6275,96.7320
1145.0981,117.6471
1626.1438,167.3203
1641.8301,115.0327
1649.6732,20.9150
1406.5359,28.7582
1764.7059,156.8628
1775.1634,125.4902
1866.6667,128.1046
1871.8954,261.4379
1843.1373,227.4510
1801.3072,248.3660
1775.1634,347.7124
1746.4052,397.3856
1709.8039,426.1438
1709.8039,386.9281
1579.0850,248.3660
1837.9085,402.6144
1934.6405,517.6470
1908.4967,533.3334
1913.7255,488.8889
1858.8235,457.5163
1890.1961,428.7582
1916.3399,433.9869
1231.3726,491.5033
1262.7451,562.0915
1430.0653,616.9935
1492.8104,556.8628
1618.3007,616.9935
1701.9608,609.1504
1696.7320,674.5098
1743.7909,687.5817
1814.3791,690.1961
1814.3791,640.5229
1775.1634,593.4641
1939.8693,666.6667
1934.6405,954.2484
1294.1177,648.3660
1173.8563,653.5948
1189.5425,637.9085
1244.4445,703.2680
1262.7451,813.0719
1053.5948,666.6667
962.0914,648.3660
713.7254,609.1504
603.9215,470.5882
457.5163,397.3856
441.8300,366.0131
457.5163,352.9412
316.3399,394.7712
355.5556,290.1961
185.6209,507.1895
190.8497,593.4641
201.3072,564.7059
258.8235,632.6798
282.3529,606.5360
347.7124,619.6079
243.1372,700.6536
65.3595,805.2288
101.9608,935.9477
96.7320,993.4641
214.3791,1032.6798
193.4640,1064.0523
151.6340,1142.4837
172.5490,1155.5556
175.1634,1171.2419
18.3007,1273.2027
248.3660,1213.0719
426.1438,1223.5295
428.7582,1205.2288
415.6863,1092.8105
530.7190,1053.5948
593.4641,975.1634
593.4641,941.1765
624.8366,867.9739
677.1242,852.2876
700.6536,781.6994
601.3072,786.9281
943.7909,760.7843
862.7451,713.7255
1022.2223,564.7059
1009.1503,567.3203
1064.0523,517.6470
1032.6798,535.9477
894.1177,481.0458
875.8170,496.7320
1077.1242,867.9739
1163.3987,935.9477
1275.8170,1056.2092
1207.8432,1207.8432
1189.5425,1173.8563
1330.7190,1362.0915
1380.3922,1335.9478
1414.3791,1312.4183
1388.2353,1087.5818
1440.5229,1074.5099
1566.0131,1129.4118
1545.0981,1150.3268
1539.8693,920.2614
1649.6732,983.0065
1607.8432,954.2484
1675.8170,1058.8236
1720.2615,1098.0393
1955.5556,1286.2746
1934.6405,1354.2484
1973.8562,1458.8236
1973.8562,1503.2680
1918.9543,1673.2026
1882.3529,1725.4902
1864.0523,1725.4902
1796.0784,1803.9216
1694.1177,1767.3203
1707.1896,1785.6209
1675.8170,1756.8628
1707.1896,1973.8562
1589.5425,1986.9281
1937.2549,1968.6275
1921.5686,1937.2549
1937.2549,1830.0654
1882.3529,1830.0654
1879.7386,1798.6928
1416.9935,1989.5425
1416.9935,1966.0131
1132.0262,1861.4379
1116.3399,1827.4510
1179.0850,1809.1503
1147.7125,1809.1503
1155.5556,1762.0915
1124.1831,1754.2484
1173.8563,1652.2876
1194.7713,1652.2876
1335.9478,1641.8301
1409.1504,1652.2876
1273.2027,1675.8170
1275.8170,1641.8301
1267.9739,1615.6863
1074.5099,1615.6863
1111.1112,1550.3268
993.4641,1647.0588
928.1046,1448.3660
857.5163,1482.3530
760.7843,1375.1634
666.6667,1521.5687
792.1569,1636.6013
1213.0719,1432.6798
959.4771,1963.3987
1181.6994,1934.6405
708.4967,1984.3137
768.6275,1892.8105
708.4967,1785.6209
679.7386,1756.8628
650.9804,1777.7778
436.6013,1858.8235
420.9150,1997.3856
243.1373,1955.5556
248.3660,1788.2353
287.5817,1636.6013
512.4183,1275.8170
543.7909,1155.5556
248.3660,1294.1177
415.6863,1490.1961
517.6470,1652.2876
530.7190,1803.9216
311.1111,886.2745
15.6863,528.1046
81.0458,533.3334
73.2026,559.4772
7.8431,661.4379
175.1634,951.6340
169.9346,917.6471
52.2876,1069.2811
138.5621,1422.2223
439.2157,1372.5491
433.9869,1401.3072
609.1504,1422.2223
593.4641,1401.3072
771.2418,1505.8824
878.4314,1406.5360
677.1242,345.0980
227.4510,26.1438
1043.1373,20.9150
512.4183,355.5556
31.3726,1484.9674
10.4575,1550.3268
2.6144,1576.4706
33.9869,1681.0458
44.4444,1738.5621
122.8758,1751.6340
75.8170,1667.9739
73.2026,1626.1438
78.4314,1597.3856
101.9608,1594.7713
91.5033,1568.6275
135.9477,1613.0719
491.5033,1939.8693
366.0131,1853.5948
1586.9281,794.7713
1511.1111,917.6471
1545.0981,888.8889
1657.5164,1213.0719
1877.1242,1432.6798
1657.5164,1142.4837
1759.4771,1947.7124
1764.7059,1986.9281
1377.7778,1853.5948
1396.0785,1824.8366
1409.1504,1814.3791
1401.3072,1777.7778
1220.9151,1871.8954
1262.7451,1882.3529
1233.9870,1788.2353
1022.2223,1579.0850
1009.1504,1568.6275
844.4445,1979.0850
